"date";"gdp";"ind_prod_israel";"rate_euro";"rate_us";"vix";"ind_prod_us";"ind_prod_euro";"eurostoxx600";"sp500";"dxy";"us_term_spread";"spread_cpi_corp";"sovereigh_spread";"term_spread";"ils_usd_impl_vol";"ta_35_impl_vol";"boi_rate";"credit";"house_price";"ta125_close"
"65";"2013 Q1";268848.755;104.5911;0.0679;0.25;13.527;101.34377;95.66667;289.5371;1513.98;81.00514;1.67488;2.495;2.29777;1.7653;0.11505;12.9978;1.75;1182.26964;319.56667;1084.27898
"66";"2013 Q2";273593.355;105.12666;0.08184;0.25;14.83703;101.77963;96.76667;295.55031;1609.49125;82.5734;1.71045;2.0739;1.87972;1.75069;0.11388;12.00867;1.53763;1181.60737;322.8;1091.50133
"67";"2013 Q3";276281.852;103.97163;0.08535;0.25;14.27969;102.1427;96.36667;302.86348;1674.94359;81.8588;2.33815;1.85447;1.22125;2.17377;0.12048;10.79814;1.23889;1192.40659;328.96667;1099.43593
"68";"2013 Q4";277954.54;105.85245;0.12008;0.25;14.23281;102.8418;96.96667;318.67625;1768.66734;80.32726;2.41377;1.72295;1.07451;2.20168;0.11278;12.04227;1;1200.07459;334.3;1189.61591
"69";"2014 Q1";281031.991;108.27482;0.18217;0.25;14.82885;103.63407;97.2;330.06444;1834.87115;80.38203;2.39941;1.64492;0.95881;2.31813;0.111;11.4119;0.91071;1198.5756;343.9;1237.17127
"70";"2014 Q2";283941.659;103.83405;0.19156;0.25;12.73825;105.02013;97.9;340.20571;1900.3727;80.08045;2.20829;1.58886;0.69932;1.94709;0.10275;9.57684;0.75;1209.65233;347.83333;1262.67439
"71";"2014 Q3";285213.818;107.1791;0.02297;0.25;13.07266;105.6427;97.3;340.13;1975.90813;82.23144;1.99029;1.81192;0.44703;1.44374;0.10933;8.82603;0.48656;1220.14684;346.16667;1261.7673
"72";"2014 Q4";289597.237;108.89199;-0.01511;0.25;16.07234;106.33587;97.33333;335.15625;2009.34438;87.52091;1.74324;1.97169;0.24569;0.94438;0.10942;9.4429;0.25;1239.30513;350.7;1297.48032
"73";"2015 Q1";290404.342;108.30598;-0.04589;0.25;16.56475;105.52317;99.53333;375.76968;2063.68984;95.05469;1.3746;2.2855;0.03477;0.79625;0.11398;10.10548;0.19464;1249.50744;357.9;1322.21597
"74";"2015 Q2";290751.176;106.59786;-0.0947;0.25;13.74016;104.10627;100.23333;398.76619;2101.82905;95.98491;1.55806;2.38495;0.07868;1.15218;0.11031;12.3523;0.1;1245.71656;364.76667;1451.56525
"75";"2015 Q3";291326.057;106.5376;-0.12548;0.25;19.30734;104.08773;100.16667;375.3053;2027.2;96.37358;1.53515;2.3682;0.18467;1.27724;0.1019;13.95368;0.1;1260.19946;369.83333;1434.15138
"76";"2015 Q4";293928.897;111.38718;-0.15786;0.29348;17.03328;102.72853;100.03333;369.27092;2052.31188;97.68724;1.35867;2.39887;-0.00356;0.78385;0.08477;13.81609;0.1;1276.12862;377.43333;1336.10156
"77";"2016 Q1";296571.65;109.36942;-0.25587;0.5;20.48623;102.19683;101.63333;334.62613;1951.22492;97.39429;1.08155;2.18811;0.04667;0.20079;0.13259;15.24156;0.1;1288.94841;384.83333;1254.45484
"78";"2016 Q2";301450.275;111.4747;-0.33609;0.5;15.67594;101.60707;101;337.42492;2075.13156;94.54706;0.97834;1.94446;0.17336;0.48749;0.13423;13.01779;0.1;1307.54972;391.56667;1242.29754
"79";"2016 Q3";305129.308;110.15319;-0.33702;0.5;13.23391;102.07363;101.2;340.53258;2162.05688;95.77845;0.83781;1.72772;0.23744;0.64153;0.12345;11.065;0.1;1328.68713;400.06667;1269.55828
"80";"2016 Q4";308108.592;111.09874;-0.34859;0.54891;14.09794;102.4091;102.8;344.74844;2184.87857;99.87345;1.13503;1.76023;0.27036;0.87516;0.11645;10.90375;0.1;1341.81751;403.1;1257.79732
"81";"2017 Q1";308316.985;112.6693;-0.35263;0.79722;11.69194;103.00917;102.63333;369.44738;2325.9279;100.88894;1.20769;1.54039;0.35155;0.6111;0.08598;10.22182;0.1;1351.92768;404.83333;1268.3675
"82";"2017 Q2";311773.739;114.59535;-0.35823;1.0467;11.42635;104.4233;103.63333;387.84508;2397.97095;98.36362;0.96752;1.49632;0.29515;1.00182;0.06576;9.36722;0.1;1367.1791;410;1283.02193
"83";"2017 Q3";315551.316;114.4358;-0.35775;1.25;10.94429;104.21347;105.3;379.604;2467.1746;93.46855;0.88108;1.47689;-0.01008;0.61116;0.06925;9.44086;0.1;1390.72326;414.93333;1280.67839
"84";"2017 Q4";318987.962;117.91222;-0.35052;1.30163;10.30794;106.11923;107.06667;389.57635;2603.2773;93.68863;0.68252;1.3517;-0.10242;0.55438;0.06776;9.09258;0.1;1402.86128;411.4;1318.78226
"85";"2018 Q1";322307.526;118.87169;-0.36362;1.53056;17.35475;106.71977;105.46667;383.4781;2733.47672;90.15531;0.60125;1.46347;-0.33618;0.81908;0.07295;10.94213;0.1;1419.28695;406.23333;1366.3127
"86";"2018 Q2";323533.59;117.78173;-0.36327;1.79945;15.3375;107.91897;105.9;384.90938;2703.13125;92.68771;0.44889;1.62112;-0.34916;1.16149;0.07297;11.64361;0.1;1446.66645;408.63333;1351.21934
"87";"2018 Q3";325889.387;118.01275;-0.36174;2.01359;12.85683;109.28383;105.53333;383.59292;2849.60143;94.9558;0.2606;1.60133;-0.28533;1.65151;0.0648;9.71721;0.1;1462.49376;407.36667;1429.0914
"88";"2018 Q4";328891.6;117.44744;-0.36277;2.28533;21.05365;110.32493;104.83333;356.84047;2698.92619;96.47836;0.23791;1.6752;-0.29752;1.51419;0.0648;15.05608;0.15333;1480.26937;405.33333;1439.28297
"89";"2019 Q1";332873.489;118.44612;-0.3673;2.5;16.47;109.78757;105.13333;364.45619;2721.00443;96.39123;0.16322;1.79787;-0.24578;1.26573;0.0648;14.84144;0.25;1489.8322;409.56667;1401.25651
"90";"2019 Q2";333963.52;120.05527;-0.3651;2.5;15.18302;109.1642;104.46667;382.37048;2882.32778;97.32126;0.20354;1.52665;-0.31974;1.05798;0.0648;12.99927;0.25;1514.05562;413.56667;1452.0625
"91";"2019 Q3";337294.863;122.3304;-0.37655;2.2962;15.96016;109.47067;103.83333;383.35364;2957.85281;97.9655;0.10736;1.43982;-0.43689;0.60486;0.0648;12.79067;0.25;1524.84671;415.33333;1492.7279
"92";"2019 Q4";341092.617;123.52295;-0.45747;1.8288;13.98578;109.57283;102.66667;401.72641;3082.75563;97.87691;0.19931;1.35701;-0.6286;0.27491;0.0648;10.40672;0.25;1540.06862;419.8;1590.93864
"93";"2020 Q1";335144.1972;128.76462;-0.45155;1.41484;31.22452;107.643;99.03333;386.06188;3055.86919;98.33905;0.28039;2.09237;-0.37249;-0.34014;0.0648;26.82645;0.25;1552.16676;424.76667;1516.66968
